,time,FR,ES,PT,GB,IT,years
315552,2016-01-01 00:00:00,0.125396,0.088464,0.202664,0.481357,0.039175,2016-01-01
315553,2016-01-01 01:00:00,0.098263,0.10404400000000001,0.21323699999999998,0.42516800000000005,0.038339,2016-01-01
315554,2016-01-01 02:00:00,0.082048,0.124367,0.231632,0.366728,0.03634,2016-01-01
315555,2016-01-01 03:00:00,0.074018,0.14661,0.252515,0.309818,0.034714,2016-01-01
315556,2016-01-01 04:00:00,0.072999,0.171163,0.27261199999999997,0.267806,0.03338,2016-01-01
315557,2016-01-01 05:00:00,0.082457,0.200093,0.29794899999999996,0.255338,0.031241,2016-01-01
315558,2016-01-01 06:00:00,0.102623,0.25031,0.345977,0.256187,0.028797000000000003,2016-01-01
315559,2016-01-01 07:00:00,0.12846300000000002,0.302822,0.454459,0.263024,0.023655000000000002,2016-01-01
315560,2016-01-01 08:00:00,0.15182400000000001,0.346493,0.533483,0.283952,0.014700999999999999,2016-01-01
315561,2016-01-01 09:00:00,0.16886800000000002,0.352194,0.635206,0.31299,0.009281999999999999,2016-01-01
315562,2016-01-01 10:00:00,0.20629899999999998,0.434062,0.666304,0.336282,0.011864,2016-01-01
315563,2016-01-01 11:00:00,0.248102,0.52189,0.7175779999999999,0.372475,0.019344999999999998,2016-01-01
315564,2016-01-01 12:00:00,0.283294,0.560585,0.8148489999999999,0.421515,0.025147,2016-01-01
315565,2016-01-01 13:00:00,0.314713,0.586498,0.8162699999999999,0.47863,0.027155000000000002,2016-01-01
315566,2016-01-01 14:00:00,0.33345,0.585634,0.787046,0.542565,0.026524000000000002,2016-01-01
315567,2016-01-01 15:00:00,0.384909,0.548219,0.780324,0.6061840000000001,0.027613,2016-01-01
315568,2016-01-01 16:00:00,0.440779,0.531469,0.692807,0.654335,0.024338,2016-01-01
315569,2016-01-01 17:00:00,0.472253,0.541396,0.585733,0.696533,0.019421,2016-01-01
315570,2016-01-01 18:00:00,0.49643000000000004,0.5430020000000001,0.46573000000000003,0.726383,0.015248,2016-01-01
315571,2016-01-01 19:00:00,0.5205,0.54519,0.418274,0.758575,0.014041,2016-01-01
315572,2016-01-01 20:00:00,0.532597,0.53781,0.390302,0.781774,0.016392,2016-01-01
315573,2016-01-01 21:00:00,0.521783,0.523976,0.340994,0.7985760000000001,0.022162,2016-01-01
315574,2016-01-01 22:00:00,0.520462,0.5271560000000001,0.348111,0.800021,0.031010000000000003,2016-01-01
315575,2016-01-01 23:00:00,0.515967,0.533157,0.321903,0.800118,0.040975,2016-01-01
